trade_date,high,low,volume,amount
20230102,54.52,53.75,3065692,165547368
20230103,54.45,53.90,5701271,309827733
20230104,55.37,53.86,5151672,280624086
20230105,54.43,53.56,1583005,85740446
20230106,54.59,53.54,4417531,240281924
20230109,54.68,54.00,5235533,285829959
20230110,54.74,54.43,4221767,229992391
20230111,54.29,53.71,1079468,58052373
20230112,53.84,52.83,2723734,146077534
20230113,54.29,53.29,3569958,192532673
20230116,53.63,53.37,3687244,197508022
20230117,54.27,53.00,4407293,234485662
20230118,54.04,53.73,3292471,177246648
20230119,54.12,53.82,4974041,267859556
20230120,54.06,53.80,4339529,233962850
20230123,53.84,53.52,4574301,245235544
20230124,54.16,52.85,4078067,219244637
20230125,54.16,52.96,2832840,151633457
20230126,53.85,52.28,3605160,192397247
20230127,53.23,52.65,3699126,196179963
20230130,54.36,53.55,1291829,69558972
20230131,54.75,53.67,3418057,185110896
20230201,54.10,53.75,1505999,81282184
20230202,55.09,54.40,1961752,107671006
20230203,56.16,56.02,2289768,128307131
20230206,58.69,57.62,2531553,146538511
20230207,58.18,57.89,4540580,264063595
20230208,57.77,57.41,4243904,244280656
20230209,58.19,56.72,2953989,169192324
20230210,58.94,57.68,1522506,88402740
20230213,57.66,56.77,2458321,139662451
20230214,56.61,55.87,2810545,157334526
20230215,58.11,56.59,4640628,265694225
20230216,57.72,57.15,1659015,95536337
20230217,59.48,57.66,4364738,256401562
20230220,57.37,56.84,2214861,126646688
20230221,58.21,56.33,1111807,63298747
20230222,57.02,55.98,2005441,113522317
20230223,57.73,57.30,3246488,186377555
20230224,57.58,56.52,4164565,239674801
20230227,56.89,56.34,1908129,107886847
20230228,56.27,55.63,3494436,195954268
20230301,55.01,54.88,1690258,92951316
20230302,54.65,53.78,4045141,219012199
20230303,54.15,52.17,1798061,94722372
20230306,51.64,51.19,4409964,227229273
20230307,52.04,51.55,3082917,159207094
20230308,51.76,51.05,1631110,84031971
20230309,52.73,51.21,3426404,177053114
20230310,51.87,50.84,2629779,135963571
20230313,52.20,50.86,5499524,281720938
20230314,52.32,51.29,2403619,124910648
20230315,50.42,50.14,3551644,179084988
20230316,51.40,49.68,4675999,234669911
20230317,50.44,49.75,4236067,211023682
20230320,50.16,49.25,4767753,235737995
20230321,50.83,49.73,5723149,286675392
20230322,51.04,50.74,1361281,69219927
20230323,51.73,50.85,5872557,300902900
20230324,51.50,50.34,1284370,65028622
20230327,50.84,49.68,2552554,128497950
20230328,50.80,50.24,3154169,159213732
20230329,51.03,50.31,1677759,85220287
20230330,50.78,50.52,3677769,186553367
20230331,51.05,50.59,1678588,85023129
20230403,50.57,50.26,1326924,66796401
20230404,51.76,50.52,5158930,262028313
20230405,50.44,49.50,1171698,58126947
20230406,49.41,49.32,5677705,280397482
20230407,50.62,49.99,3332895,167611650
20230410,50.16,49.61,4285751,213102651
20230411,51.93,51.31,3842771,198515691
20230412,52.05,51.12,4441605,229062474
20230413,51.22,50.90,5258651,269250208
20230414,51.66,50.57,3050648,154999153
20230417,50.82,50.24,2659428,133901474
20230418,50.62,50.16,1244223,62724749
20230419,51.50,50.82,5756182,294986057
20230420,51.58,51.10,4022428,206029161
20230421,51.86,51.20,5929243,303801713
20230424,51.45,50.43,4663402,237937639
20230425,51.68,51.08,2922140,150110039
20230426,51.97,51.25,3707330,191904187
20230427,51.79,51.71,2768143,143251592
20230428,52.66,52.18,4474313,234848506
20230501,52.76,51.86,3038049,159158801
20230502,53.71,52.89,2415383,128582970
20230503,52.96,52.83,4919823,260332493
20230504,53.21,53.02,1806923,95972020
20230505,54.82,53.55,1991134,107160106
20230508,54.18,54.06,3477994,188245024
20230509,54.93,54.64,2335586,128164792
20230510,55.92,55.35,3117685,172581282
20230511,57.31,56.13,3562024,200896050
20230512,57.04,55.92,4869378,274986832
20230515,58.85,56.86,4677679,269701290
20230516,58.84,58.23,5134250,299159717
20230517,56.34,56.06,2192131,123178479
20230518,58.80,56.95,4442802,255883242
20230519,58.31,57.08,5775961,332322123
20230522,59.01,57.90,1307600,76528254
20230523,59.15,58.51,5884962,344548955
20230524,57.80,57.65,5961260,344393294
20230525,57.49,56.97,2221201,126769040
20230526,58.24,57.66,3476342,201925327
